MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,HouseAge,GarageAge,YearsSinceRemodel,YearsSinceLastSale
20,0.7842465753424658,103.0,13472,0.6386986301369864,0.7157534246575342,0.04965753424657534,0.5017123287671232,10,5,0.19863013698630136,0.3501712328767123,0.3441780821917808,2,922.0,0.03424657534246575,0.4392123287671233,5,4,6,56,2336,2392,0.514554794520548,2392,0,2392,0,2,0,3,0.07106164383561644,8,1,5,1,3,3,968,248,105,6,22,22.0,22,16
90,0.15325342465753425,68.0,8930,0.6386986301369864,0.7157534246575342,0.0547945205479452,0.1053082191780822,6,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,0,0.0,0.622431506849315,0.017123287671232876,0,0,0,0,0,0,0.2928082191780822,1318,584,1902,0,2,0,4,0.5102739726027398,8,0,0,1,1,2,539,0,0,4,47,47.0,47,15
20,0.7842465753424658,64.0,9037,0.3287671232876712,0.7157534246575342,0.026541095890410957,0.5017123287671232,8,5,0.19863013698630136,0.3501712328767123,0.3441780821917808,2,32.0,0.3339041095890411,0.4392123287671233,4,3,6,428,1048,1476,0.514554794520548,1484,0,1484,0,2,0,2,0.07106164383561644,6,1,4,1,2,2,472,120,33,12,19,19.0,19,18
60,0.7842465753424658,80.0,11584,0.6386986301369864,0.7157534246575342,0.05136986301369863,0.04708904109589041,7,6,0.19863013698630136,0.15154109589041095,0.1404109589041096,2,96.0,0.622431506849315,0.4366438356164384,3,1,6,315,114,539,0.2928082191780822,1040,685,1725,0,2,1,3,0.5102739726027398,6,1,3,1,2,2,550,0,88,11,46,46.0,46,18
160,0.7842465753424658,36.0,2628,0.6386986301369864,0.7157534246575342,0.04965753424657534,0.2979452054794521,7,5,0.7782534246575342,0.3501712328767123,0.025684931506849314,4,106.0,0.3339041095890411,0.4392123287671233,4,1,1,0,764,764,0.514554794520548,764,862,1626,0,2,1,2,0.3921232876712329,6,0,0,3,2,2,474,0,27,6,22,22.0,22,15
120,0.7842465753424658,48.0,6240,0.6386986301369864,0.7157534246575342,0.04965753424657534,0.5017123287671232,8,5,0.19863013698630136,0.14897260273972604,0.14554794520547945,2,176.0,0.3339041095890411,0.4392123287671233,4,1,6,863,461,1324,0.514554794520548,1324,0,1324,1,2,0,2,0.3921232876712329,6,1,4,1,3,2,550,192,38,12,19,19.0,19,16
60,0.7842465753424658,77.0,9965,0.6386986301369864,0.7157534246575342,0.10273972602739725,0.2979452054794521,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,4,220.0,0.3339041095890411,0.4392123287671233,5,3,6,984,280,1264,0.514554794520548,1282,1414,2696,1,2,1,4,0.07106164383561644,10,1,4,3,3,3,792,120,184,10,18,18.0,18,18
120,0.7842465753424658,50.0,8012,0.6386986301369864,0.7157534246575342,0.0410958904109589,0.5017123287671232,6,5,0.7782534246575342,0.0779109589041096,0.0059931506849315065,0,0.0,0.3339041095890411,0.4392123287671233,4,1,6,430,1145,1575,0.1558219178082192,1575,0,1575,1,2,0,2,0.3921232876712329,5,0,0,1,2,2,529,0,0,7,33,33.0,33,18
60,0.7842465753424658,66.0,16226,0.007705479452054794,0.7157534246575342,0.10273972602739725,0.2979452054794521,8,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,0,0.0,0.3339041095890411,0.4392123287671233,4,1,6,281,747,1028,0.514554794520548,1210,1242,2452,0,2,1,4,0.3921232876712329,9,1,3,3,3,2,683,208,50,5,27,27.0,26,18
20,0.7842465753424658,60.0,11664,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.5017123287671232,6,5,0.7782534246575342,0.14897260273972604,0.14554794520547945,2,206.0,0.622431506849315,0.4366438356164384,3,1,4,336,746,1082,0.2928082191780822,1082,0,1082,0,1,0,2,0.5102739726027398,5,1,4,5,1,1,240,0,130,11,77,77.0,75,18
160,0.15325342465753425,21.0,1680,0.6386986301369864,0.7157534246575342,0.011986301369863013,0.2979452054794521,5,7,0.7782534246575342,0.04195205479452055,0.0410958904109589,2,268.0,0.622431506849315,0.4366438356164384,3,1,5,231,399,630,0.2928082191780822,630,672,1302,0,2,1,3,0.5102739726027398,6,0,0,5,1,1,264,185,0,2,53,53.0,53,16
80,0.7842465753424658,75.0,13860,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.04708904109589041,8,7,0.7782534246575342,0.0779109589041096,0.13356164383561644,0,0.0,0.3339041095890411,0.4366438356164384,4,4,6,1410,542,1952,0.1558219178082192,2000,704,2704,1,2,1,4,0.07106164383561644,9,3,3,1,3,2,538,269,111,7,53,53.0,30,16
80,0.7842465753424658,75.0,9750,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.04708904109589041,5,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,0,0.0,0.622431506849315,0.4392123287671233,3,3,5,400,100,980,0.1558219178082192,980,0,980,0,2,0,3,0.5102739726027398,6,0,0,1,3,1,384,68,0,10,58,58.0,58,19
60,0.7842465753424658,80.0,10793,0.6386986301369864,0.7157534246575342,0.05136986301369863,0.2979452054794521,5,5,0.0059931506849315065,0.018835616438356163,0.1404109589041096,2,263.0,0.622431506849315,0.4366438356164384,3,1,3,493,0,780,0.514554794520548,780,840,1620,0,2,1,4,0.5102739726027398,7,0,0,1,3,2,462,208,0,4,56,56.0,56,18
20,0.7842465753424658,74.0,8892,0.6386986301369864,0.18664383561643835,0.1523972602739726,0.5017123287671232,5,7,0.7782534246575342,0.018835616438356163,0.025684931506849314,0,0.0,0.3339041095890411,0.004280821917808219,3,3,1,0,105,105,0.1558219178082192,910,0,910,0,1,0,3,0.3921232876712329,5,0,0,1,1,2,414,196,0,10,72,72.0,29,17
60,0.7842465753424658,70.0,11184,0.6386986301369864,0.7157534246575342,0.0547945205479452,0.2979452054794521,6,5,0.19863013698630136,0.15154109589041095,0.1404109589041096,2,92.0,0.622431506849315,0.4366438356164384,3,1,2,226,192,918,0.1558219178082192,918,765,1683,0,2,1,3,0.5102739726027398,7,1,3,1,2,2,440,243,0,7,47,47.0,47,16
20,0.7842465753424658,85.0,11049,0.6386986301369864,0.18664383561643835,0.10273972602739725,0.5017123287671232,8,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,0,0.0,0.3339041095890411,0.4392123287671233,5,3,1,0,1234,1234,0.514554794520548,1234,0,1234,0,2,0,3,0.3921232876712329,7,0,0,1,2,2,484,0,30,1,18,18.0,18,17
190,0.7842465753424658,60.0,10800,0.6386986301369864,0.7157534246575342,0.07962328767123288,0.2979452054794521,4,7,0.7782534246575342,0.14897260273972604,0.14554794520547945,0,0.0,0.622431506849315,0.10102739726027397,0,0,0,0,0,0,0.2928082191780822,694,600,1294,0,2,0,3,0.5102739726027398,7,0,0,6,0,0,0,220,114,8,125,55.40000000000009,25,17
20,0.7842465753424658,70.0,13300,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.5017123287671232,5,7,0.19863013698630136,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.4366438356164384,4,1,3,377,551,928,0.2928082191780822,928,0,928,0,1,0,2,0.5102739726027398,4,0,0,1,1,1,252,261,0,6,69,69.0,25,18
20,0.7842465753424658,90.0,5400,0.6386986301369864,0.7157534246575342,0.07962328767123288,0.5017123287671232,5,7,0.7782534246575342,0.14897260273972604,0.14554794520547945,0,0.0,0.622431506849315,0.4366438356164384,3,1,3,415,418,833,0.514554794520548,833,0,833,0,1,0,2,0.3921232876712329,4,0,0,5,1,1,326,0,0,8,71,70.0,25,19
120,0.7842465753424658,48.0,6955,0.3287671232876712,0.7157534246575342,0.04965753424657534,0.5017123287671232,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,4,94.0,0.3339041095890411,0.4392123287671233,4,1,1,0,1368,1368,0.514554794520548,1368,0,1368,0,2,0,2,0.3921232876712329,6,1,4,1,2,2,474,132,35,9,20,20.0,19,19
160,0.04366438356164384,34.0,3230,0.6386986301369864,0.18664383561643835,0.05650684931506849,0.2979452054794521,6,5,0.7782534246575342,0.14897260273972604,0.14554794520547945,2,1129.0,0.622431506849315,0.4392123287671233,4,1,6,419,310,729,0.1558219178082192,729,729,1458,0,2,1,2,0.5102739726027398,5,1,2,5,1,2,440,0,32,6,26,26.0,26,18
50,0.15325342465753425,60.0,5790,0.6386986301369864,0.18664383561643835,0.07962328767123288,0.2979452054794521,3,6,0.00684931506849315,0.3501712328767123,0.3441780821917808,0,0.0,0.3339041095890411,0.4366438356164384,2,1,1,0,840,840,0.1558219178082192,840,765,1605,0,2,0,3,0.5102739726027398,8,0,0,5,1,1,379,0,0,5,110,110.0,75,15
90,0.7842465753424658,80.0,8000,0.6386986301369864,0.18664383561643835,0.1523972602739726,0.5017123287671232,5,4,0.7782534246575342,0.03339041095890411,0.017123287671232876,0,0.0,0.622431506849315,0.4366438356164384,3,1,1,0,1800,1800,0.514554794520548,1800,0,1800,0,2,0,6,0.5102739726027398,10,0,0,6,0,0,0,0,0,7,64,74.0,64,18
160,0.15325342465753425,21.0,1680,0.6386986301369864,0.7157534246575342,0.011986301369863013,0.2979452054794521,6,5,0.7782534246575342,0.15154109589041095,0.1404109589041096,2,158.0,0.622431506849315,0.4366438356164384,3,1,4,330,153,483,0.2928082191780822,483,504,987,1,1,1,2,0.5102739726027398,5,0,0,5,1,1,264,0,0,11,52,52.0,52,17
50,0.7842465753424658,60.0,9120,0.6386986301369864,0.7157534246575342,0.038527397260273974,0.1053082191780822,7,6,0.7782534246575342,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.4392123287671233,3,1,3,329,697,1026,0.514554794520548,1133,687,1820,1,2,0,4,0.5102739726027398,8,0,0,5,1,1,240,0,100,6,100,100.0,75,17
80,0.7842465753424658,70.4,10784,0.3287671232876712,0.032534246575342464,0.04794520547945205,0.04708904109589041,7,5,0.7782534246575342,0.15154109589041095,0.1404109589041096,2,76.0,0.3339041095890411,0.4392123287671233,4,1,1,0,384,384,0.1558219178082192,802,670,1472,0,2,1,3,0.3921232876712329,7,1,3,1,2,2,402,164,0,5,34,34.0,33,18
60,0.7842465753424658,80.0,9828,0.3287671232876712,0.7157534246575342,0.0410958904109589,0.2979452054794521,8,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,0,0.0,0.3339041095890411,0.4392123287671233,4,1,6,584,544,1128,0.514554794520548,1142,878,2020,0,2,1,3,0.3921232876712329,8,1,3,1,2,2,466,0,155,6,30,30.0,30,16
60,0.7842465753424658,66.0,8738,0.3287671232876712,0.7157534246575342,0.04794520547945205,0.2979452054794521,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,2,302.0,0.3339041095890411,0.4392123287671233,4,1,1,0,975,975,0.514554794520548,1005,1286,2291,0,2,1,4,0.3921232876712329,8,1,3,3,3,2,429,192,0,2,26,26.0,26,19
120,0.15325342465753425,64.0,5587,0.3287671232876712,0.7157534246575342,0.03767123287671233,0.5017123287671232,8,5,0.19863013698630136,0.04195205479452055,0.0410958904109589,4,186.0,0.03424657534246575,0.4392123287671233,5,4,6,1480,120,1600,0.514554794520548,1652,0,1652,1,2,0,2,0.3921232876712329,5,1,4,1,3,2,482,162,53,11,17,17.0,17,17
160,0.7842465753424658,24.0,2308,0.6386986301369864,0.18664383561643835,0.0059931506849315065,0.2979452054794521,6,6,0.7782534246575342,0.0779109589041096,0.005136986301369863,0,0.0,0.622431506849315,0.4366438356164384,4,1,5,556,248,804,0.2928082191780822,804,744,1548,1,2,1,3,0.3921232876712329,7,1,3,5,1,2,440,48,0,7,49,49.0,49,18
20,0.7842465753424658,84.0,12615,0.6386986301369864,0.18664383561643835,0.06934931506849315,0.5017123287671232,6,7,0.7782534246575342,0.018835616438356163,0.025684931506849314,0,0.0,0.622431506849315,0.4366438356164384,3,3,5,477,725,1202,0.2928082191780822,2158,0,2158,1,2,0,4,0.3921232876712329,7,1,4,1,1,2,576,0,29,6,75,75.0,24,18
50,0.7842465753424658,78.0,10496,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.1053082191780822,6,6,0.7782534246575342,0.13955479452054795,0.13356164383561644,2,320.0,0.622431506849315,0.4366438356164384,3,2,3,196,844,1040,0.514554794520548,1168,678,1846,0,2,0,3,0.5102739726027398,7,1,4,1,1,1,315,0,0,1,76,76.0,75,18
70,0.7842465753424658,53.0,10918,0.6386986301369864,0.7157534246575342,0.03767123287671233,0.2979452054794521,7,9,0.00684931506849315,0.14897260273972604,0.14554794520547945,0,0.0,0.3339041095890411,0.10102739726027397,4,1,1,0,1276,1276,0.514554794520548,1276,804,2080,0,1,1,3,0.3921232876712329,9,2,4,5,1,1,282,0,0,6,99,99.0,21,16
20,0.7842465753424658,124.0,16158,0.3287671232876712,0.7157534246575342,0.01797945205479452,0.5017123287671232,7,5,0.19863013698630136,0.3501712328767123,0.3441780821917808,4,16.0,0.3339041095890411,0.4392123287671233,5,3,5,1274,256,1530,0.514554794520548,1530,0,1530,1,2,0,3,0.3921232876712329,7,1,4,1,3,2,430,168,36,6,20,20.0,20,16
20,0.7842465753424658,91.0,10652,0.3287671232876712,0.7157534246575342,0.10273972602739725,0.5017123287671232,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,4,306.0,0.3339041095890411,0.4392123287671233,4,3,1,0,1494,1494,0.514554794520548,1494,0,1494,0,2,0,3,0.3921232876712329,7,1,4,1,2,3,840,160,33,8,19,19.0,18,18
20,0.7842465753424658,80.0,8400,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.5017123287671232,6,9,0.7782534246575342,0.13955479452054795,0.13356164383561644,2,237.0,0.3339041095890411,0.4366438356164384,3,1,1,0,1319,1319,0.2928082191780822,1537,0,1537,1,1,1,3,0.3921232876712329,7,1,4,1,2,2,462,0,36,7,63,63.0,20,17
120,0.7842465753424658,64.0,2887,0.6386986301369864,0.7157534246575342,0.019691780821917807,0.5017123287671232,6,5,0.7782534246575342,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.4392123287671233,4,2,6,1003,288,1291,0.514554794520548,1291,0,1291,1,1,0,2,0.3921232876712329,6,1,4,1,1,2,431,307,0,11,29,29.0,28,17
20,0.7842465753424658,80.0,9600,0.6386986301369864,0.7157534246575342,0.05136986301369863,0.5017123287671232,7,5,0.19863013698630136,0.15154109589041095,0.1404109589041096,2,168.0,0.622431506849315,0.4366438356164384,3,1,1,0,1164,1164,0.2928082191780822,1164,0,1164,0,1,1,3,0.5102739726027398,6,0,0,1,1,2,528,0,0,7,56,56.0,56,19
120,0.7842465753424658,43.0,3182,0.6386986301369864,0.7157534246575342,0.012842465753424657,0.5017123287671232,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,2,14.000000000000014,0.3339041095890411,0.4392123287671233,4,1,6,16,1330,1346,0.514554794520548,1504,0,1504,0,2,0,2,0.3921232876712329,7,1,4,1,3,2,437,156,20,5,20,20.0,19,17
20,0.7842465753424658,80.0,9600,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.5017123287671232,6,6,0.19863013698630136,0.13955479452054795,0.13356164383561644,1,183.0,0.622431506849315,0.4366438356164384,3,1,3,620,0,1240,0.1558219178082192,1632,0,1632,1,2,0,3,0.5102739726027398,6,1,4,1,2,1,338,289,0,4,67,67.0,37,16
50,0.15325342465753425,57.2,5700,0.6386986301369864,0.7157534246575342,0.07962328767123288,0.1053082191780822,7,7,0.7782534246575342,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.4392123287671233,3,1,1,0,572,572,0.2928082191780822,572,539,1111,0,1,0,2,0.5102739726027398,5,1,4,5,1,1,288,0,0,8,99,43.0,75,17
120,0.7842465753424658,43.0,3182,0.6386986301369864,0.7157534246575342,0.012842465753424657,0.5017123287671232,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,2,11.0,0.3339041095890411,0.4392123287671233,4,1,6,16,1129,1145,0.514554794520548,1145,0,1145,0,2,0,2,0.3921232876712329,5,1,4,1,3,2,397,100,16,9,20,20.0,19,16
60,0.04366438356164384,84.0,10207,0.6386986301369864,0.7157534246575342,0.05650684931506849,0.2979452054794521,7,6,0.7782534246575342,0.3501712328767123,0.3441780821917808,0,0.0,0.3339041095890411,0.4392123287671233,4,1,1,0,874,874,0.514554794520548,874,887,1761,0,3,0,3,0.3921232876712329,7,0,0,1,3,2,578,144,105,8,18,18.0,18,18
190,0.7842465753424658,50.0,7420,0.6386986301369864,0.18664383561643835,0.038527397260273974,0.009417808219178082,5,6,0.7782534246575342,0.14897260273972604,0.14554794520547945,0,0.0,0.622431506849315,0.10102739726027397,3,1,6,851,140,991,0.514554794520548,1077,0,1077,1,1,0,2,0.5102739726027398,5,2,3,1,2,1,205,0,4,1,86,86.0,75,17
60,0.04366438356164384,75.0,8004,0.3287671232876712,0.7157534246575342,0.05650684931506849,0.2979452054794521,8,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,4,110.0,0.3339041095890411,0.4392123287671233,4,1,6,544,288,832,0.514554794520548,832,1103,1935,1,2,1,3,0.5102739726027398,8,0,0,3,3,2,552,0,150,12,16,16.0,16,16
20,0.7842465753424658,61.4,11250,0.3287671232876712,0.7157534246575342,0.009417808219178082,0.5017123287671232,6,6,0.7782534246575342,0.0779109589041096,0.10188356164383562,0,0.0,0.3339041095890411,0.4366438356164384,4,1,5,767,441,1208,0.2928082191780822,1208,0,1208,1,1,1,3,0.5102739726027398,6,1,3,1,2,2,546,198,42,6,48,48.0,48,19
85,0.7842465753424658,64.0,7301,0.6386986301369864,0.18664383561643835,0.06934931506849315,0.02482876712328767,7,5,0.7782534246575342,0.15154109589041095,0.1404109589041096,2,500.0,0.3339041095890411,0.017123287671232876,0,0,0,0,0,0,0.514554794520548,495,1427,1922,0,3,0,4,0.3921232876712329,7,1,5,3,2,2,672,0,0,7,22,22.0,22,16
20,0.15325342465753425,90.0,7407,0.6386986301369864,0.7157534246575342,0.07962328767123288,0.5017123287671232,6,7,0.7782534246575342,0.14897260273972604,0.14554794520547945,0,0.0,0.622431506849315,0.4366438356164384,3,1,6,600,312,912,0.2928082191780822,1236,0,1236,1,1,0,2,0.5102739726027398,6,0,0,1,1,2,923,0,158,4,68,68.0,29,15
120,0.7842465753424658,43.0,3182,0.6386986301369864,0.7157534246575342,0.012842465753424657,0.5017123287671232,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,2,16.0,0.3339041095890411,0.4392123287671233,4,3,6,16,1357,1373,0.514554794520548,1555,0,1555,0,2,0,2,0.3921232876712329,7,1,3,1,3,2,430,143,20,5,20,20.0,19,16
160,0.04366438356164384,24.0,2645,0.6386986301369864,0.7157534246575342,0.05650684931506849,0.2979452054794521,8,5,0.7782534246575342,0.14897260273972604,0.14554794520547945,2,456.0,0.3339041095890411,0.4392123287671233,4,1,1,0,776,776,0.514554794520548,764,677,1441,0,2,1,2,0.3921232876712329,5,0,0,5,1,2,492,206,0,11,26,26.0,25,18
20,0.7842465753424658,95.0,13651,0.3287671232876712,0.7157534246575342,0.1523972602739726,0.5017123287671232,7,6,0.7782534246575342,0.0779109589041096,0.10188356164383562,2,1115.0,0.622431506849315,0.4366438356164384,4,4,5,1880,343,2223,0.514554794520548,2223,0,2223,1,2,0,3,0.5102739726027398,8,2,4,1,3,2,516,300,0,2,52,52.0,52,18
50,0.7842465753424658,60.0,10800,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.1053082191780822,4,4,0.7782534246575342,0.014554794520547944,0.015410958904109588,0,0.0,0.622431506849315,0.4366438356164384,3,1,1,0,720,720,0.2928082191780822,720,472,1192,0,1,1,4,0.5102739726027398,6,0,0,6,0,0,0,0,0,12,76,55.40000000000009,75,19
50,0.15325342465753425,60.0,10440,0.6386986301369864,0.18664383561643835,0.07962328767123288,0.2979452054794521,5,6,0.7782534246575342,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.4392123287671233,3,1,1,0,440,440,0.1558219178082192,682,548,1230,0,1,1,2,0.5102739726027398,5,0,0,5,1,2,440,74,0,5,115,59.0,44,16
20,0.7842465753424658,120.0,10356,0.6386986301369864,0.18664383561643835,0.10273972602739725,0.5017123287671232,5,6,0.7782534246575342,0.15154109589041095,0.1404109589041096,0,0.0,0.622431506849315,0.4366438356164384,3,3,4,716,253,969,0.2928082191780822,969,0,969,0,1,1,3,0.5102739726027398,5,0,0,1,1,2,440,0,0,1,50,50.0,50,18
60,0.04366438356164384,65.0,8125,0.6386986301369864,0.7157534246575342,0.05650684931506849,0.2979452054794521,7,5,0.7782534246575342,0.3501712328767123,0.3441780821917808,0,0.0,0.3339041095890411,0.4392123287671233,4,1,1,0,756,756,0.514554794520548,756,797,1553,0,2,1,3,0.3921232876712329,6,0,0,1,2,2,615,0,45,3,20,20.0,19,19
160,0.15325342465753425,36.0,2592,0.6386986301369864,0.7157534246575342,0.008561643835616438,0.2979452054794521,5,3,0.7782534246575342,0.04195205479452055,0.0410958904109589,0,0.0,0.622431506849315,0.4366438356164384,4,1,3,129,175,536,0.2928082191780822,536,576,1112,0,1,1,3,0.5102739726027398,4,0,0,1,1,1,336,182,0,4,49,49.0,49,15
80,0.7842465753424658,85.0,9350,0.6386986301369864,0.7157534246575342,0.1523972602739726,0.04708904109589041,6,7,0.19863013698630136,0.15154109589041095,0.1404109589041096,2,108.0,0.622431506849315,0.4366438356164384,4,4,2,270,452,1302,0.514554794520548,1302,0,1302,0,2,0,3,0.3921232876712329,7,0,0,1,2,1,309,333,0,10,61,61.0,34,18
20,0.7842465753424658,60.0,9000,0.6386986301369864,0.032534246575342464,0.1523972602739726,0.5017123287671232,4,6,0.7782534246575342,0.15154109589041095,0.1404109589041096,0,0.0,0.622431506849315,0.4392123287671233,3,1,5,616,248,864,0.2928082191780822,864,0,864,0,1,0,3,0.5102739726027398,5,0,0,5,1,2,528,0,0,5,54,51.0,54,18
75,0.7842465753424658,60.0,8400,0.6386986301369864,0.7157534246575342,0.015410958904109588,0.00684931506849315,5,8,0.7782534246575342,0.13955479452054795,0.13356164383561644,0,0.0,0.622431506849315,0.4392123287671233,3,1,2,378,342,720,0.514554794520548,1052,720,2192,0,2,1,4,0.3921232876712329,8,1,4,5,1,1,240,262,24,7,86,86.0,28,17
90,0.7842465753424658,70.0,9842,0.6386986301369864,0.032534246575342464,0.1523972602739726,0.5017123287671232,4,5,0.7782534246575342,0.15154109589041095,0.1404109589041096,0,0.0,0.622431506849315,0.017123287671232876,0,0,0,0,0,0,0.2928082191780822,1224,0,1224,0,2,0,2,0.5102739726027398,6,0,0,4,1,2,462,0,0,3,63,63.0,63,18
